id,order_nr,name,is_deleted,deal_probability,pipeline_id,is_deal_rot_enabled,days_to_rotten,add_time,update_time
340,8,No Show/Em reagendamento,FALSE,100,28,TRUE,3,2024-10-08 21:26:03.000 UTC,2025-07-30 11:14:41.000 UTC
341,5,Aguardando data,FALSE,100,14,TRUE,2,2024-10-08 21:28:09.000 UTC,2025-10-02 18:27:21.000 UTC
342,7,No Show,FALSE,100,14,TRUE,2,2024-10-08 21:28:09.000 UTC,2024-11-13 12:42:47.000 UTC
345,4,Qualificado,FALSE,100,14,TRUE,1,2024-11-12 19:25:48.000 UTC,2024-11-12 19:25:48.000 UTC
346,5,Qualificado,FALSE,100,28,TRUE,1,2024-11-12 19:26:32.000 UTC,2025-07-30 11:14:41.000 UTC
347,4,Qualificado,FALSE,100,37,TRUE,1,2024-11-12 19:28:02.000 UTC,2024-11-12 19:28:02.000 UTC
348,1,Lead in,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:50:29.000 UTC
349,2,Contatados,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
350,3,Qualificação,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
351,4,Qualificado,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
352,5,Aguardando data,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
353,6,Agendado,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
354,7,No show,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
355,8,Reunião Realizada,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
356,11,Aguardando Dados,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
357,10,Negociação,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
358,9,FUP,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
359,12,Contrato,FALSE,100,44,FALSE,,2024-12-05 14:26:49.000 UTC,2024-12-05 14:26:49.000 UTC
360,3,Qualificação,FALSE,100,7,FALSE,,2024-12-20 16:00:23.000 UTC,2024-12-20 16:00:23.000 UTC
361,4,Aguardando data,FALSE,100,7,FALSE,,2024-12-20 16:00:23.000 UTC,2024-12-20 16:00:23.000 UTC
362,7,Reunião realizada/Opp,FALSE,100,7,FALSE,,2024-12-20 16:00:23.000 UTC,2025-03-27 18:12:01.000 UTC
371,4,Parceiro Novo,FALSE,100,45,FALSE,,2025-01-22 18:35:31.000 UTC,2025-09-19 17:05:15.000 UTC
372,5,Ativo,FALSE,100,45,FALSE,,2025-01-22 18:35:31.000 UTC,2025-09-19 17:05:15.000 UTC
373,6,Engajado,FALSE,100,45,FALSE,,2025-01-22 18:35:31.000 UTC,2025-09-19 17:05:15.000 UTC
374,3,Parceiros Outbound com IA,FALSE,100,45,FALSE,,2025-01-22 18:35:31.000 UTC,2025-09-15 13:25:00.000 UTC
375,8,Desengajado,FALSE,100,45,FALSE,,2025-01-22 18:35:31.000 UTC,2025-09-19 17:05:15.000 UTC
376,2,Entrada Indicações,FALSE,100,45,FALSE,,2025-01-28 13:26:20.000 UTC,2025-09-15 13:25:00.000 UTC
379,7,Estratégico,FALSE,100,45,FALSE,,2025-02-15 12:41:54.000 UTC,2025-09-19 17:05:15.000 UTC
382,5,Material de Vendas,FALSE,0,31,FALSE,,2025-03-18 17:11:30.000 UTC,2025-09-24 18:40:29.000 UTC
383,7,Lista,FALSE,0,31,FALSE,,2025-03-18 17:11:30.000 UTC,2025-09-24 18:40:29.000 UTC
384,9,Assembleia,FALSE,0,31,FALSE,,2025-03-18 17:11:30.000 UTC,2025-09-24 18:40:29.000 UTC
385,2,Qualificado,FALSE,100,48,FALSE,,2025-06-09 18:52:12.000 UTC,2025-06-09 18:52:12.000 UTC
386,1,Em Atendimento,FALSE,100,48,FALSE,,2025-06-09 18:52:12.000 UTC,2025-06-09 18:52:12.000 UTC
387,4,Não Qualificado,FALSE,100,48,FALSE,,2025-06-09 18:52:12.000 UTC,2025-06-09 18:52:12.000 UTC
388,3,Agendamento,FALSE,100,48,FALSE,,2025-06-09 18:52:12.000 UTC,2025-06-09 18:52:12.000 UTC
390,9,Cadastro SAPRON,FALSE,100,7,FALSE,,2025-07-21 12:28:59.000 UTC,2025-07-21 12:28:59.000 UTC
391,10,Aguardando Aceite,FALSE,100,7,FALSE,,2025-07-21 12:28:59.000 UTC,2025-07-21 12:28:59.000 UTC
392,1,FUP Parceiro,FALSE,5,28,TRUE,1,2025-07-30 11:14:41.000 UTC,2025-07-30 11:15:15.000 UTC
393,11,Proposta Aprovada,FALSE,100,37,FALSE,,2025-07-31 20:27:28.000 UTC,2025-07-31 20:27:28.000 UTC
394,5,Entrevista Financeira,FALSE,100,13,FALSE,,2025-08-20 18:39:40.000 UTC,2025-08-20 18:39:40.000 UTC
395,1,FUP Parceiro,FALSE,5,49,TRUE,1,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
396,2,Lead in,FALSE,5,49,TRUE,2,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
397,3,Contatados,FALSE,10,49,TRUE,1,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
398,4,Qualificação,FALSE,100,49,TRUE,1,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
399,5,Qualificado,FALSE,100,49,TRUE,1,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
400,6,Aguardando data,FALSE,100,49,TRUE,2,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
401,7,Agendado,FALSE,15,49,FALSE,,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
402,8,No Show/Em reagendamento,FALSE,100,49,TRUE,3,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
403,9,Reunião Realizada/OPP,FALSE,30,49,FALSE,,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
404,10,FUP,FALSE,35,49,FALSE,,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
405,11,Negociação,FALSE,50,49,FALSE,,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
406,12,Fila de espera,FALSE,80,49,FALSE,,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
407,13,Reservas,FALSE,80,49,TRUE,2,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
408,14,Contrato,FALSE,90,49,TRUE,2,2025-09-05 18:57:04.000 UTC,2025-09-05 18:57:04.000 UTC
409,1,Visitas II,FALSE,100,45,FALSE,,2025-09-15 13:25:00.000 UTC,2025-09-15 13:25:00.000 UTC
410,2,Contatados,FALSE,100,31,FALSE,,2025-09-24 18:39:49.000 UTC,2025-09-24 18:40:29.000 UTC
411,4,Qualificados,FALSE,100,31,FALSE,,2025-09-24 18:39:49.000 UTC,2025-09-24 18:40:29.000 UTC
